#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.85024    -7.85024           0
           2    -7.84959    -7.84992 0.000228321
           3    -7.84852    -7.84945  0.00040981
           4    -7.84702    -7.84884 0.000610345
           5    -7.84508    -7.84809 0.000830803
           6    -7.84273     -7.8472  0.00107015
           7    -7.83994    -7.84616   0.0013272
           8    -7.83674    -7.84498  0.00160085
           9    -7.83278    -7.84363  0.00191256
          10    -7.82841    -7.84211  0.00224644
          11    -7.82265    -7.84034  0.00264853
          12     -7.8168    -7.83838  0.00306943
          13    -7.81086    -7.83626   0.0034876
          14    -7.80386    -7.83394  0.00393212
          15    -7.79612    -7.83142  0.00440489
          16    -7.78895    -7.82877   0.0048642
          17    -7.78007     -7.8259   0.0053555
          18    -7.77047    -7.82282   0.0058772
          19    -7.76046    -7.81954  0.00641936
          20    -7.75037    -7.81608  0.00696806
          21    -7.73891    -7.81241  0.00754326
          22    -7.72706    -7.80853  0.00813713
          23    -7.71513    -7.80447  0.00873812
          24    -7.70377    -7.80027  0.00932706
          25    -7.69234    -7.79596  0.00990281
          26     -7.6802     -7.7915   0.0104751
          27    -7.66701    -7.78689   0.0110554
          28    -7.65279     -7.7821   0.0116519
          29    -7.63883    -7.77716   0.0122528
          30    -7.62449    -7.77207   0.0128579
          31    -7.60911    -7.76682   0.0134749
          32    -7.59498    -7.76145   0.0140832
          33    -7.58112    -7.75598   0.0146783
          34    -7.56721    -7.75043   0.0152606
          35     -7.5513    -7.74474   0.0158497
          36    -7.53633    -7.73895   0.0164328
          37    -7.52034    -7.73304   0.0170177
          38    -7.50432    -7.72702   0.0176021
          39    -7.48795    -7.72089   0.0181869
          40    -7.47091    -7.71464   0.0187754
          41    -7.45417    -7.70829   0.0193625
          42    -7.43741    -7.70184   0.0199467
          43    -7.41903    -7.69526   0.0205386
          44     -7.4013    -7.68858   0.0211305
          45    -7.38292    -7.68179   0.0217253
          46    -7.36456    -7.67489   0.0223207
          47    -7.34589    -7.66789   0.0229172
          48    -7.32661    -7.66078   0.0235169
          49    -7.30671    -7.65356   0.0241216
          50    -7.28751    -7.64624   0.0247252
          51    -7.26771    -7.63882   0.0253299
          52    -7.24797     -7.6313    0.025934
          53    -7.22767    -7.62368   0.0265393
          54    -7.20583    -7.61595   0.0271525
          55    -7.18506    -7.60811    0.027766
          56    -7.16375    -7.60018   0.0283814
          57    -7.14158    -7.59213   0.0290015
          58    -7.12053      -7.584   0.0296194
          59    -7.09929    -7.57578   0.0302352
          60    -7.07789    -7.56749   0.0308491
          61    -7.05666    -7.55911   0.0314594
          62    -7.03529    -7.55066   0.0320665
          63    -7.01348    -7.54214   0.0326715
          64    -6.99156    -7.53353   0.0332743
          65    -6.96987    -7.52486   0.0338735
          66    -6.94779    -7.51612   0.0344703
          67    -6.92533     -7.5073   0.0350655
          68    -6.90315    -7.49842   0.0356576
          69    -6.88062    -7.48946   0.0362475
          70    -6.85777    -7.48044   0.0368359
          71    -6.83557    -7.47136   0.0374201
          72    -6.81276    -7.46221   0.0380019
          73    -6.79065    -7.45301   0.0385788
          74    -6.76861    -7.44376   0.0391503
          75    -6.74698    -7.43447   0.0397153
          76    -6.72546    -7.42514   0.0402736
          77    -6.70341    -7.41577   0.0408267
          78    -6.68216    -7.40636   0.0413724
          79    -6.66076    -7.39692   0.0419114
          80    -6.63985    -7.38746   0.0424425
          81    -6.61916    -7.37798   0.0429653
          82    -6.59836    -7.36847   0.0434805
          83    -6.57813    -7.35895    0.043987
          84    -6.55783    -7.34941   0.0444852
          85    -6.53846    -7.33987   0.0449733
          86    -6.51874    -7.33032   0.0454526
          87    -6.49998    -7.32078   0.0459213
          88    -6.48123    -7.31124   0.0463799
          89     -6.4625     -7.3017   0.0468289
          90    -6.44446    -7.29217   0.0472673
          91    -6.42647    -7.28266   0.0476956
          92    -6.40823    -7.27316   0.0481149
          93    -6.39136    -7.26367   0.0485228
          94    -6.37492    -7.25422   0.0489191
          95     -6.3589     -7.2448   0.0493036
          96    -6.34333    -7.23541   0.0496762
          97    -6.32757    -7.22605    0.050038
          98    -6.31292    -7.21673   0.0503874
          99    -6.29841    -7.20745   0.0507251
         100    -6.28407    -7.19822   0.0510514
         101    -6.27054    -7.18903   0.0513655
         102    -6.25783     -7.1799   0.0516669
         103    -6.24562    -7.17083   0.0519554
         104     -6.2336    -7.16182   0.0522315
         105    -6.22273    -7.15288   0.0524942
         106    -6.21173      -7.144   0.0527445
         107    -6.20157    -7.13519   0.0529819
         108    -6.19128    -7.12645   0.0532073
         109    -6.18248    -7.11779   0.0534193
         110    -6.17387    -7.10921   0.0536185
         111    -6.16577    -7.10071   0.0538048
         112    -6.15819     -7.0923   0.0539785
         113    -6.15176    -7.08397   0.0541388
         114    -6.14487    -7.07573    0.054287
         115    -6.13881    -7.06759   0.0544228
         116    -6.13324    -7.05953   0.0545465
         117    -6.12817    -7.05157    0.054658
         118    -6.12325    -7.04371   0.0547581
         119    -6.11881    -7.03593   0.0548467
         120    -6.11484    -7.02826   0.0549241
         121    -6.11198    -7.02068   0.0549898
         122    -6.10925    -7.01321   0.0550442
         123    -6.10664    -7.00584   0.0550879
         124    -6.10479    -6.99858   0.0551208
         125    -6.10336    -6.99142   0.0551432
         126    -6.10234    -6.98436   0.0551551
         127    -6.10173    -6.97741   0.0551569
         128     -6.1015    -6.97057   0.0551489
         129    -6.10198    -6.96383   0.0551309
         130     -6.1025    -6.95721   0.0551035
         131    -6.10305    -6.95069   0.0550673
         132    -6.10426    -6.94427   0.0550222
         133    -6.10581    -6.93797   0.0549684
         134      -6.108    -6.93178   0.0549061
         135    -6.11017    -6.92569   0.0548356
         136    -6.11263    -6.91971   0.0547574
         137    -6.11536    -6.91384   0.0546715
         138    -6.11804    -6.90807   0.0545786
         139    -6.12162    -6.90242   0.0544785
         140    -6.12479    -6.89686   0.0543717
         141    -6.12851    -6.89141   0.0542585
         142     -6.1318    -6.88606   0.0541395
         143    -6.13594    -6.88082   0.0540144
         144    -6.14058    -6.87568   0.0538834
         145    -6.14508    -6.87064   0.0537468
         146    -6.14974     -6.8657    0.053605
         147    -6.15423    -6.86086   0.0534584
         148    -6.15886    -6.85612   0.0533072
         149    -6.16361    -6.85147   0.0531517
         150    -6.16848    -6.84692    0.052992
         151     -6.1741    -6.84246    0.052828
         152    -6.17948     -6.8381   0.0526602
         153    -6.18495    -6.83383   0.0524888
         154    -6.19049    -6.82965   0.0523139
         155    -6.19738    -6.82557   0.0521352
         156    -6.20303    -6.82158   0.0519535
         157    -6.20871    -6.81768   0.0517691
         158    -6.21443    -6.81386    0.051582
         159    -6.22016    -6.81013   0.0513926
         160    -6.22591    -6.80648   0.0512009
         161    -6.23166    -6.80291   0.0510072
         162    -6.23611    -6.79941   0.0508122
         163    -6.24184    -6.79599   0.0506155
         164    -6.24723    -6.79264   0.0504173
         165    -6.25258    -6.78937   0.0502179
         166    -6.25791    -6.78617   0.0500174
         167    -6.26351    -6.78304   0.0498157
         168    -6.26875    -6.77997   0.0496131
         169    -6.27425    -6.77698   0.0494097
         170    -6.28001    -6.77406   0.0492055
         171    -6.28539     -6.7712   0.0490006
         172    -6.29102    -6.76841   0.0487952
